Wall time,Step,Value
1598621754.4240468,235215,1.0
1598621792.1432254,235309,1.0
1598622398.3938973,236906,1.0
1598622832.2721152,238047,1.0
1598623049.0851562,238615,1.0
1598623131.7270563,238814,1.0
1598623323.9872894,239338,1.0
1598623613.836162,240094,0.96875
1598624171.2387981,241531,1.0
1598624210.5932436,241629,1.0
1598624374.51206,242064,1.0
1598624482.432271,242341,1.0
1598624951.719532,243571,1.0
1598625464.2096145,244900,1.0
1598625792.3020048,245714,1.0
1598625916.672571,246050,1.0
1598626263.44907,246939,1.0
1598626492.5033169,247507,1.0
1598626548.199275,247694,1.0
1598626782.3514054,248292,1.0
1598626843.2061434,248435,1.0
1598627033.5624447,248960,1.0
1598627318.6516058,249676,1.0
1598627464.0833485,250024,1.0
1598627539.023474,250242,1.0
1598627783.0435808,250869,1.0
1598627958.2465658,251319,1.0
1598628099.046651,251695,1.0
1598628130.939121,251796,1.0
1598628145.1903665,251809,1.0
1598628246.400139,252066,1.0
1598628350.0388489,252339,1.0
1598628435.6768408,252585,1.0
1598628668.9311855,253200,1.0
1598628763.618776,253439,1.0
1598629087.7007022,254294,1.0
1598629148.325735,254422,1.0
1598629219.678899,254601,1.0
1598629241.1519792,254690,1.0
1598629545.315994,255462,1.0
1598629740.9103107,255995,1.0
1598630033.1951911,256730,1.0
1598630117.676761,256945,1.0
1598630540.1072092,258062,0.96875
1598630607.4885764,258207,1.0
1598630651.9713416,258350,1.0
1598630738.7175803,258568,1.0
1598630888.7875454,258959,1.0
1598630950.0996015,259111,1.0
1598630952.3883111,259122,1.0
1598631188.8035042,259736,1.0
1598631298.8562837,260035,1.0
1598631378.8011315,260211,1.0
1598631496.4393435,260531,1.0
1598631660.2315328,260953,1.0
1598632192.6628218,262325,1.0
1598632266.400191,262512,1.0
1598632270.0726004,262527,1.0
1598632291.220792,262598,1.0
1598632390.2314513,262853,1.0
1598632552.3011782,263300,1.0
1598632808.8389897,263947,1.0
1598632911.012339,264212,1.0
1598633196.8939507,264960,1.0
1598633315.8546584,265272,1.0
1598633451.580637,265601,1.0
1598633475.2224445,265694,1.0
1598633651.5756454,266124,1.0
1598633857.1321878,266658,1.0
1598634235.1956615,267643,1.0
1598634307.615544,267806,1.0
1598634308.0838096,267808,1.0
1598634332.3785589,267897,1.0
1598634638.2477498,268687,1.0
1598634658.103123,268716,1.0
1598634861.5872886,269272,1.0
1598635284.0526726,270341,1.0
1598635366.8850608,270593,1.0
1598635478.7546496,270861,1.0
1598635554.7718391,271052,1.0
1598635608.8281393,271185,1.0
1598635749.2693496,271556,1.0
1598635945.3679278,272073,1.0
1598636059.9956002,272344,1.0
1598636218.1829476,272751,1.0
1598636285.155157,272938,1.0
1598636533.8219457,273783,1.0
1598636971.7566388,275402,1.0
1598636972.3092237,275405,1.0
1598637000.760715,275526,1.0
1598637311.384832,276767,1.0
1598637484.2078013,277439,1.0
1598637813.4161427,278747,1.0
1598637845.0495353,278879,1.0
1598637889.8894417,279048,1.0
1598637996.793072,279472,0.96875
1598637998.4693437,279481,1.0
1598638008.5370772,279501,1.0
1598638101.7896843,279890,1.0
1598638249.0843112,280453,1.0
1598638293.2814236,280618,1.0
1598638366.2499332,280904,1.0
1598638456.4178424,281277,1.0
1598638524.2148423,281536,1.0
1598638567.9236438,281702,1.0
1598638699.5556989,282229,1.0
